symbol,open,close,low,high,volume,date
AAV,3400.0,3600.0,3300.0,3700.0,131500.0,2022-11-24
ADC,19800.0,19800.0,19800.0,19800.0,0.0,2022-11-24
ALT,16200.0,16200.0,16200.0,16200.0,0.0,2022-11-24
AMC,22500.0,22500.0,22500.0,22500.0,200.0,2022-11-24
AME,10800.0,10800.0,10700.0,10800.0,4400.0,2022-11-24
AMV,3300.0,3400.0,3200.0,3400.0,672100.0,2022-11-24
API,8000.0,8800.0,7400.0,8800.0,751400.0,2022-11-24
APS,6100.0,6800.0,5900.0,6800.0,1876700.0,2022-11-24
ARM,50000.0,50000.0,50000.0,50000.0,0.0,2022-11-24
ART,1300.0,1300.0,1300.0,1300.0,0.0,2022-11-24
ATS,16000.0,16000.0,16000.0,16000.0,0.0,2022-11-24
BAB,13200.0,13200.0,13100.0,13300.0,3600.0,2022-11-24
BAX,79900.0,79900.0,79900.0,79900.0,0.0,2022-11-24
BBS,11000.0,11000.0,11000.0,11000.0,0.0,2022-11-24
BCC,6000.0,6200.0,5900.0,6200.0,219500.0,2022-11-24
BCF,36100.0,36100.0,36100.0,36100.0,300.0,2022-11-24
BCG,5200.0,5400.0,5140.0,5590.0,5040800.0,2022-11-24
BDB,10800.0,10800.0,10800.0,10800.0,0.0,2022-11-24
BED,39900.0,39900.0,39900.0,39900.0,0.0,2022-11-24
BID,37200.0,38000.0,36800.0,38400.0,1789300.0,2022-11-24
BID,37200.0,38000.0,36800.0,38400.0,1789300.0,2022-11-24
BID,37200.0,38000.0,36800.0,38400.0,1789300.0,2022-11-24
BID,37200.0,38000.0,36800.0,38400.0,1789300.0,2022-11-24
BID,37200.0,38000.0,36800.0,38400.0,1789300.0,2022-11-24
BII,1900.0,1800.0,1800.0,2000.0,1309700.0,2022-11-24
BKC,7800.0,7800.0,7800.0,7800.0,200.0,2022-11-24
BLF,3200.0,3200.0,3200.0,3200.0,0.0,2022-11-24
BNA,12800.0,12800.0,12500.0,13300.0,55500.0,2022-11-24
BPC,7800.0,7800.0,7800.0,7900.0,43100.0,2022-11-24
BSC,13000.0,13000.0,13000.0,13000.0,0.0,2022-11-24
BST,17900.0,17900.0,17900.0,17900.0,0.0,2022-11-24
BTS,5400.0,5400.0,4900.0,5400.0,14300.0,2022-11-24
BTW,26500.0,26500.0,26500.0,26500.0,0.0,2022-11-24
BVS,14200.0,14200.0,13900.0,14200.0,57700.0,2022-11-24
BXH,9000.0,9000.0,9000.0,9000.0,0.0,2022-11-24
C69,5700.0,6000.0,5700.0,6000.0,7500.0,2022-11-24
CAG,7500.0,7600.0,7500.0,7600.0,2300.0,2022-11-24
CAN,30900.0,30900.0,30900.0,30900.0,0.0,2022-11-24
CAP,65200.0,66200.0,65200.0,67000.0,9600.0,2022-11-24
CCR,12100.0,12100.0,12100.0,12100.0,100.0,2022-11-24
CDN,26000.0,25200.0,24200.0,26000.0,1400.0,2022-11-24
CEO,11100.0,12600.0,10900.0,12600.0,10864900.0,2022-11-24
CET,3100.0,3300.0,3100.0,3300.0,300.0,2022-11-24
CIA,9400.0,9700.0,9300.0,9700.0,3100.0,2022-11-24
CII,11500.0,11950.0,11400.0,12200.0,2892600.0,2022-11-24
CII,11500.0,11950.0,11400.0,12200.0,2892600.0,2022-11-24
CII,11500.0,11950.0,11400.0,12200.0,2892600.0,2022-11-24
CII,11500.0,11950.0,11400.0,12200.0,2892600.0,2022-11-24
CJC,30000.0,30000.0,30000.0,30000.0,0.0,2022-11-24
CKV,21500.0,21500.0,21500.0,21500.0,0.0,2022-11-24
CLH,28000.0,28700.0,28000.0,28700.0,900.0,2022-11-24
CLM,64000.0,64000.0,64000.0,64000.0,100.0,2022-11-24
CMC,4900.0,4900.0,4900.0,4900.0,0.0,2022-11-24
CMS,7100.0,6800.0,6500.0,7100.0,17800.0,2022-11-24
CPC,15500.0,15500.0,15500.0,15500.0,0.0,2022-11-24
CSC,37500.0,41800.0,36000.0,41800.0,197800.0,2022-11-24
CTB,18000.0,18000.0,18000.0,18000.0,3000.0,2022-11-24
CTC,1600.0,1600.0,1500.0,1700.0,67800.0,2022-11-24
CTD,29650.0,29000.0,28300.0,30100.0,275100.0,2022-11-24
CTG,24250.0,24600.0,23800.0,24600.0,4141700.0,2022-11-24
CTG,24250.0,24600.0,23800.0,24600.0,4141700.0,2022-11-24
CTP,3900.0,3800.0,3600.0,3900.0,5300.0,2022-11-24
